ID,Stage,Stimulus word,Stimulus word_POS,PAUSE 1,Reaction 1,Reaction 1_POS,Type 1,Косинус_1_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_1_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 2,Reaction 2,Reaction 2_POS,TYPE 2,Косинус_2_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_2_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 3,Reaction 3,Reaction 3_POS,TYPE 3,Косинус_3_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_3_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 4,Reaction 4,Reaction_4_POS,TYPE 4,Косинус_4_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_4_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 5,Reaction 5,Reaction 5_POS,TYPE 5,Косинус_5_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_5_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli
19,1,Изображение 11,NA,11376,сестра,сестра_NOUN,SIMIL,NA,NA,3478,выставка,выставка_NOUN,INDIV,NA,NA,3313,фотосессия,фотосессия_NOUN,FRAME,NA,NA,1494,лето,лето_NOUN,FRAME,NA,NA,1106,объятия,объятие_NOUN,MENTAL,NA,NA
19,1,враг,враг_NOUN,2876,синий,синий_ADJ,PRECED,"0,0268510133","0,3689670265",641,колодец,колодец_NOUN,CAUSE,"0,1371738315","0,5920976996",1726,колесо,колесо_NOUN,INDIV,"0,1029646844","0,4503421187",5024,пистолет,пистолет_NOUN,FRAME,"0,1918498427","0,5730177164",895,очки,очки_NOUN,FRAME,"0,157757327","0,3628624678"
19,1,дорогой,дорогой_ADJ,1926,друг,друг_NOUN,CHAR_DIR,"0,2415575534","0,4295093417",1592,стекло,стекло_NOUN,CHAR_IND,"0,1752324104","0,277967155",3907,дом,дом_NOUN,CHAR_DIR,"0,152997151","0,282389015",655,собака,собака_NOUN,CHAR_IND,"0,1376720518","0,08502387255",1923,кошелек,кошелек_NOUN,CHAR_DIR/FRAME,"0,2502895892","0,3113415241"
19,1,Изображение 14,NA,11635,лето,лето_NOUN,FRAME,NA,NA,394,Африка,африка_PROPN,PRECED,NA,NA,5131,каникулы,каникулы_NOUN,FRAME,NA,NA,1061,детство,детство_NOUN,FRAME,NA,NA,3331,семья,семья_NOUN,SIMIL,NA,NA
19,1,счастье,счастье_NOUN,3314,семья,семья_NOUN,SPECIFIC,"0,209675163","0,3771392703",510,тепло,теплый_ADJ,MENTAL,"0,2035704851","0,225522086",648,улыбка,улыбка_NOUN,MENTAL,"0,3222181797","0,6986754537",652,душа,душа_NOUN,FRAME,"0,4600445032","0,674726367",828,гармония,гармония_NOUN,SIMIL,"0,4057650566","0,5695802569"
19,1,думать,думать_VERB,2389,серьёзность,серьезность_NOUN,MENTAL,"0,2077822536","0,5268833637",621,затруднение,затруднение_NOUN,CAUSE/MENTAL,"0,09798823297","0,2397146821",2811,процесс,процесс_NOUN,HYP,"0,1599348485","0,2407680601",5763,стол,стол_NOUN,INDIV,"0,1510321349","0,3322947621",371,учебник,учебник_NOUN,FRAME/FUNC,"0,07216303796","0,3296569288"
19,1,друг,друг_NOUN,4015,мороженое,мороженое_NOUN,FRAME,"0,06891264766","0,4694798589",7857,прогулка,прогулка_NOUN,FUNC,"0,1379077435","0,5099406838",3838,комбинезон,комбинезон_NOUN,INDIV,"0,08980058879","0,5361305475",3692,улыбка,улыбка_NOUN,MENTAL,"0,2331855893","0,6338100433",8058,рукопожатие,рукопожатие_NOUN,FRAME,"0,2651082277","0,6894070506"
19,1,Изображение 18,NA,4373,Россия,россия_PROPN,PRECED,NA,NA,1191,голод,голод_NOUN,MENTAL,NA,NA,475,флаг,флаг_NOUN,SIMIL,NA,NA,1663,гордость,гордость_NOUN,MENTAL,NA,NA,2488,гимн,гимн_NOUN,FRAME,NA,NA
19,1,дом,дом_NOUN,1775,уют,уют_NOUN,MENTAL,"0,3008203208","0,6020715237",1354,подушка,подушка_NOUN,FRAME,"0,146912232","0,6571509838",1210,цветы,цветы_NOUN,FRAME,"0,1646826565","0,3568526804",659,кухня,кухня_NOUN,FRAME,"0,3811966479","0,6406904459",774,коврик,коврик_NOUN,FRAME,"0,2423014343","0,4680826962"
19,1,любить,любить_VERB,3770,сердце,сердце_NOUN,FRAME,"0,3637797534","0,3678766787",2987,рука,рука_NOUN,OBJ_IND/INDIV,"0,1825517863","0,4257490337",13476,красный,красный_ADJ,PRECED,"-0,01339262165","0,2061757892",2733,глаза,глаз_NOUN,OBJ_DIR/FUNCE,"0,2387620509","0,2838417292",3329,юбка,юбка_NOUN,OBJ_IND/INDIV,"0,1521009654","0,3418740332"
19,1,семья,семья_NOUN,5317,море,море_NOUN,FRAME,"-0,0139525272","0,2679286897",1459,дача,дача_NOUN,FRAME,"0,256873697","0,5277043581",2714,еда,еда_NOUN,FRAME,"0,1634653062","0,4819689691",1680,разговор,разговор_NOUN,FRAME,"0,1319651753","0,5023750067",316,смех,смех_NOUN,MENTAL,"-0,003053786","0,3712139428"
19,1,душа,душа_NOUN,4472,клетка,клетка_NOUN,PRECED,"0,2027537078","0,5785160661",573,пятно,пятно_NOUN,INDIV,"0,06298710406","0,5823483467",515,песок,песок_NOUN,INDIV,"0,1634771973","0,4545009732",717,Бог,бог_NOUN,FRAME,"0,3921669424","0,7839569449",454,мысли,мысль_NOUN,FRAME,"0,4893386364","0,7508255243"
19,1,жизнь,жизнь_NOUN,6679,путь,путь_NOUN,SIMIL,"0,2422523648","0,5483137965",793,дорога,дорога_NOUN,SIMIL,"-0,0004678026307","0,5115933418",431,руки,рука_NOUN,INDIV,"0,2017077953","0,4585863054",18700,лес,лес_NOUN,INDIV,"0,1094754934","0,5824742317",1513,небо,небо_NOUN,ANT/INDIV,"0,1876388937","0,7493339181"
19,1,лес,лес_NOUN,3423,сосна,сосна_NOUN,HYP,"0,6618658304","0,6801704168",1332,грибы,гриб_NOUN,FRAME,"0,4243240952","0,6635362506",397,тропинка,тропинка_NOUN,FRAME,"0,5115849376","0,6508386731",8487,густой,густой_ADJ,CHAR_DIR,"0,4882762134","0,3348480165",1055,река,река_NOUN,FRAME,"0,501412034","0,6263736486"
